NAME	DESCRIPTION	RootControl12h	RootControl24h	RootControl6h	RootPA0112h	RootPA0124h	RootPA016h
AT1G01730	NA@T1N6.14 protein [Source:UniProtKB/TrEMBL;Acc:Q9LQ83]	0.0	105.94	211.33	0.0	0.0	0.0
AT1G01750	ADF11@actin depolymerizing factor 11 [Source:TAIR;Acc:AT1G01750]	0.0	420.42	0.0	0.0	0.0	0.0
AT1G01770	NA@Propionyl-CoA carboxylase [Source:UniProtKB/TrEMBL;Acc:Q8GZ85]	49.47	49.24	0.0	0.0	0.0	0.0
AT1G01790	KEA1@K(+) efflux antiporter 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9ZTZ7]	0.0	0.0	26.77	0.0	0.0	26.62
AT1G01800	NA@AT1G01800 protein [Source:UniProtKB/TrEMBL;Acc:Q94K30]	118.18	0.0	203.63	0.0	122.9	116.68
AT1G01820	PEX11C@Peroxisomal membrane protein 11C [Source:UniProtKB/Swiss-Prot;Acc:Q9LQ73]	0.0	99.62	198.8	0.0	104.4	99.15
AT1G01830	NA@ARM repeat superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q93YW3]	53.27	0.0	0.0	0.0	0.0	0.0
AT1G01880	GEN1@Flap endonuclease GEN-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPD2]	0.0	0.0	0.0	0.0	0.0	55.89
AT1G01900	SBTI1.1@SBTI1.1 [Source:UniProtKB/TrEMBL;Acc:A0A178W900]	0.0	0.0	0.0	0.0	46.72	0.0
AT1G01920	NA@SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4HU79]	64.17	58.59	63.83	0.0	131.14	0.0
AT1G01940	CYP18-1@Peptidyl-prolyl cis-trans isomerase CYP18-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPC7]	0.0	154.07	0.0	0.0	0.0	0.0
AT1G01950	ARK2@Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:F4HU83]	0.0	39.49	0.0	37.94	0.0	39.02
AT1G01960	BIG3@Brefeldin A-inhibited guanine nucleotide-exchange protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPC5]	0.0	0.0	38.52	38.66	0.0	38.28
AT1G01990	NA@At1g01990 [Source:UniProtKB/TrEMBL;Acc:Q9LPC2]	0.0	0.0	0.0	84.0	0.0	0.0
AT1G02000	GAE2@UDP-glucuronate 4-epimerase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPC1]	0.0	0.0	56.69	0.0	0.0	0.0
AT1G02020	NA@Nitroreductase family protein [Source:UniProtKB/TrEMBL;Acc:O23673]	0.0	0.0	0.0	53.41	0.0	0.0
AT1G02080	NA@Transcription regulator [Source:UniProtKB/TrEMBL;Acc:F4HVV6]	29.88	29.78	59.48	14.98	15.6	29.69
AT1G02090	CSN7@COP9 signalosome complex subunit 7 [Source:UniProtKB/Swiss-Prot;Acc:Q94JU3]	0.0	0.0	0.0	213.38	0.0	0.0
AT1G02100	LCMT1@Leucine carboxyl methyltransferase 1 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q8VY08]	0.0	0.0	0.0	0.0	90.38	93.66
AT1G02110	NA@BZIP domain class transcription factor (DUF630 and DUF632) [Source:UniProtKB/TrEMBL;Acc:Q56W45]	0.0	50.68	0.0	0.0	0.0	0.0
AT1G02120	VAD1@Protein VASCULAR ASSOCIATED DEATH 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HVW5]	0.0	52.22	55.06	0.0	57.66	54.81
AT1G02130	RABD2A@Ras-related protein RABD2a [Source:UniProtKB/Swiss-Prot;Acc:P28188]	116.66	0.0	0.0	0.0	242.65	115.19
AT1G02140	MEE63@MEE63 [Source:UniProtKB/TrEMBL;Acc:A0A178WA48]	0.0	0.0	153.62	0.0	0.0	153.6
AT1G02160	NA@Cox19 family protein (CHCH motif) [Source:UniProtKB/TrEMBL;Acc:A8MQS6]	0.0	0.0	0.0	0.0	0.0	306.04
AT1G02170	AMC1@MCP1b [Source:UniProtKB/TrEMBL;Acc:A0A178W8H4]	85.43	84.9	84.79	172.24	0.0	0.0
AT1G02220	NAC003@NAC domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5PP28]	0.0	0.0	153.03	155.2	80.24	76.24
AT1G02260	NA@At1g02260 [Source:UniProtKB/TrEMBL;Acc:O81915]	47.21	90.21	94.1	94.92	0.0	0.0
AT1G02270	NA@Uncharacterized calcium-binding protein At1g02270 [Source:UniProtKB/Swiss-Prot;Acc:O81916]	0.0	0.0	0.0	0.0	70.89	0.0
AT1G02290	NA@At1g02290 [Source:UniProtKB/TrEMBL;Acc:Q6GKW8]	0.0	68.07	0.0	0.0	0.0	0.0
AT1G02300	CATHB1@Cathepsin B-like protease 1 [Source:UniProtKB/Swiss-Prot;Acc:F4HVZ1]	0.0	0.0	83.94	0.0	0.0	0.0
AT1G02305	CATHB2@Cathepsin B-like protease 2 [Source:UniProtKB/Swiss-Prot;Acc:Q93VC9]	88.48	0.0	87.79	89.22	184.27	0.0
AT1G02330	CSU2@CONTAINS InterPro DOMAIN/s: Hepatocellular carcinoma-associated antigen 59 (InterPro:IPR010756); Ha. [Source:TAIR;Acc:AT1G02330]	0.0	0.0	0.0	0.0	111.46	0.0
AT1G02335	GL22@Germin-like protein subfamily 2 member 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ27]	0.0	0.0	132.19	135.46	0.0	132.05
AT1G02360	NA@Chitinase family protein [Source:TAIR;Acc:AT1G02360]	115.66	114.8	524.86	0.0	348.72	104.51
AT1G02370	NA@Pentatricopeptide repeat-containing protein At1g02370, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ24]	60.16	59.85	0.0	60.53	0.0	0.0
AT1G02400	GA2OX6@Gibberellin 2-beta-dioxygenase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ21]	0.0	0.0	0.0	0.0	0.0	87.03
AT1G02420	NA@Putative pentatricopeptide repeat-containing protein At1g02420 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ19]	81.04	0.0	0.0	0.0	0.0	0.0
AT1G02500	SAM1@S-adenosylmethionine synthase [Source:UniProtKB/TrEMBL;Acc:A0A178WES1]	554.19	551.14	275.5	1296.99	519.18	343.03
AT1G02520	ABCB11@ABC transporter B family member 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9FWX7]	0.0	0.0	0.0	169.14	82.54	27.88
AT1G02560	CLPP5@ATP-dependent Clp protease proteolytic subunit [Source:UniProtKB/TrEMBL;Acc:A0A178WMF0]	0.0	249.23	0.0	84.26	0.0	82.71
AT1G02570	NA@Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q1PFZ3]	0.0	129.6	0.0	0.0	0.0	0.0
AT1G02660	PLIP2@Phospholipase A1 PLIP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HXL0]	0.0	40.66	0.0	0.0	0.0	0.0
AT1G02690	IMPA-6@Importin subunit alpha [Source:UniProtKB/TrEMBL;Acc:F4HXL3]	0.0	0.0	184.27	0.0	0.0	54.1
AT1G02720	GATL5@Probable galacturonosyltransferase-like 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FWY9]	0.0	61.17	61.18	0.0	0.0	0.0
AT1G02730	CSLD5@Cellulose synthase-like protein D5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRW9]	0.0	28.93	0.0	0.0	0.0	0.0
AT1G02750	DI19-2@Protein DEHYDRATION-INDUCED 19 homolog 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWK1]	117.54	165.58	0.0	0.0	0.0	0.0
AT1G02780	RPL19A@60S ribosomal protein L19-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRX2]	1051.03	695.4	577.61	236.02	971.64	576.54
AT1G02810	PME7@Probable pectinesterase/pectinesterase inhibitor 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRX4]	0.0	55.39	110.85	0.0	116.09	0.0
AT1G02816	NA@F22D16.19 protein [Source:UniProtKB/TrEMBL;Acc:Q9SRX5]	76.37	0.0	0.0	0.0	0.0	0.0
AT1G02840	SR34@Serine/arginine-rich-splicing factor SR34 [Source:UniProtKB/Swiss-Prot;Acc:O22315]	0.0	0.0	90.79	0.0	0.0	241.12
AT1G02850	BGLU11@Beta-glucosidase 11 [Source:UniProtKB/Swiss-Prot;Acc:B3H5Q1]	123.25	66.53	66.52	402.21	256.96	127.31
AT1G02860	BAH1@E3 ubiquitin-protein ligase BAH1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRX9]	0.0	121.61	0.0	0.0	0.0	80.37
AT1G02870	NA@At1g02870 [Source:UniProtKB/TrEMBL;Acc:Q8RWK5]	0.0	0.0	0.0	0.0	168.64	0.0
AT1G02880	TPK1@thiamin pyrophosphokinase1 [Source:TAIR;Acc:AT1G02880]	0.0	0.0	0.0	0.0	111.35	0.0
AT1G02890	NA@AAA-type ATPase family protein [Source:UniProtKB/TrEMBL;Acc:F4HZ82]	0.0	0.0	0.0	56.45	29.35	83.76
AT1G02900	RALF1@RALFL1 [Source:UniProtKB/TrEMBL;Acc:A0A178WER1]	0.0	0.0	158.31	163.01	0.0	158.32
AT1G02920	GSTF7@Glutathione S-transferase F7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRY5]	0.0	0.0	0.0	1909.18	1421.08	1660.92
AT1G02930	GSTF6@Glutathione S-transferase F6 [Source:UniProtKB/Swiss-Prot;Acc:P42760]	0.0	0.0	0.0	326.78	673.36	910.32
AT1G02970	WEE1@Wee1-like protein kinase [Source:UniProtKB/Swiss-Prot;Acc:Q8L4H0]	0.0	62.94	0.0	0.0	0.0	0.0
AT1G02990	NA@BEST Arabidopsis thaliana protein match is: CW-type Zinc Finger (TAIR:AT3G62900.1); Ha. [Source:TAIR;Acc:AT1G02990]	0.0	0.0	49.13	0.0	0.0	0.0
AT1G03000	PEX6@Peroxisome biogenesis protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8RY16]	34.9	34.76	34.83	70.11	0.0	0.0
AT1G03030	NA@At1g03030 [Source:UniProtKB/TrEMBL;Acc:Q500U9]	0.0	0.0	80.17	0.0	0.0	0.0
AT1G03040	NA@basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:TAIR;Acc:AT1G03040]	233.88	85.63	0.0	0.0	89.73	255.74
AT1G03060	SPI@Protein SPIRRIG [Source:UniProtKB/Swiss-Prot;Acc:F4HZB2]	0.0	0.0	9.79	0.0	20.43	19.44
AT1G03070	LFG4@Protein LIFEGUARD 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SA63]	0.0	0.0	0.0	0.0	0.0	112.55
AT1G03080	NET1D@Protein NETWORKED 1D [Source:UniProtKB/Swiss-Prot;Acc:F4HZB5]	57.44	0.0	0.0	37.79	20.0	19.02
AT1G03090	MCCA@Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q42523]	0.0	0.0	45.77	46.15	0.0	0.0
AT1G03100	NA@Pentatricopeptide repeat-containing protein At1g03100, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SA60]	0.0	0.0	0.0	41.42	0.0	0.0
AT1G03140	NA@F10O3.3 protein [Source:UniProtKB/TrEMBL;Acc:Q9SA55]	0.0	78.62	78.55	0.0	0.0	0.0
AT1G03180	NA@Non-structural protein [Source:UniProtKB/TrEMBL;Acc:Q5Q0J3]	113.49	0.0	0.0	0.0	0.0	0.0
AT1G03190	XPD@UVH6 [Source:UniProtKB/TrEMBL;Acc:A0A178W4P7]	0.0	89.61	0.0	0.0	0.0	0.0
AT1G03210	NA@Phenazine biosynthesis PhzC/PhzF protein [Source:TAIR;Acc:AT1G03210]	130.51	0.0	0.0	0.0	0.0	257.5
AT1G03220	NA@Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVS4]	952.41	568.44	694.83	639.06	463.28	251.62
AT1G03230	NA@Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVS5]	0.0	63.94	63.94	64.7	0.0	127.36
AT1G03270	CBSDUF4@Putative DUF21 domain-containing protein At1g03270 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVS8]	0.0	68.16	0.0	0.0	0.0	0.0
AT1G03280	NA@TFIIE-alpha 1 [Source:UniProtKB/TrEMBL;Acc:Q93ZW3]	0.0	61.13	0.0	0.0	0.0	0.0
AT1G03290	NA@ELKS/Rab6-interacting/CAST family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVT0]	0.0	0.0	0.0	0.0	0.0	59.42
AT1G03330	LSM2@Sm-like protein LSM2 [Source:UniProtKB/TrEMBL;Acc:A0A178W785]	364.06	0.0	0.0	0.0	188.8	0.0
AT1G03350	NA@BSD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVT6]	65.88	65.52	65.52	0.0	0.0	65.26
AT1G03360	RRP4@RRP4 [Source:UniProtKB/TrEMBL;Acc:A0A178W3N1]	0.0	0.0	94.0	286.93	0.0	0.0
AT1G03370	NA@C2 and GRAM domain-containing protein At1g03370 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVT9]	81.29	29.15	0.0	58.75	0.0	0.0
AT1G03380	ATG18G@Autophagy-related protein 18g [Source:UniProtKB/Swiss-Prot;Acc:Q8GUL1]	27.16	54.13	0.0	0.0	0.0	0.0
AT1G03400	NA@2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:TAIR;Acc:AT1G03400]	90.09	0.0	0.0	0.0	0.0	0.0
AT1G03457	NA@RNA-binding (RRM/RBD/RNP motifs) family protein [Source:UniProtKB/TrEMBL;Acc:F4I0X0]	0.0	0.0	78.78	0.0	0.0	0.0
AT1G03475	CPX1@Coproporphyrinogen-III oxidase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LR75]	69.5	0.0	69.09	0.0	0.0	0.0
AT1G03495	NA@HXXXD-type acyl-transferase family protein [Source:TAIR;Acc:AT1G03495]	0.0	0.0	95.15	0.0	0.0	0.0
AT1G03510	PCMP-E3@Putative pentatricopeptide repeat-containing protein At1g03510 [Source:UniProtKB/Swiss-Prot;Acc:Q9LR72]	84.17	0.0	0.0	0.0	0.0	0.0
AT1G03520	NA@Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:UniProtKB/TrEMBL;Acc:Q9LR71]	88.7	0.0	88.0	0.0	0.0	55.04
AT1G03530	ATNAF1@NAF1 [Source:UniProtKB/TrEMBL;Acc:A0A178WI11]	0.0	39.49	39.55	39.84	0.0	0.0
AT1G03550	SCAMP2@Secretory carrier-associated membrane protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LR68]	0.0	0.0	0.0	0.0	0.0	187.69
AT1G03590	PPC6-6@Probable protein phosphatase 2C 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LR65]	0.0	0.0	53.08	0.0	0.0	0.0
AT1G03600	PSB27-1@Photosystem II repair protein PSB27-H1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LR64]	0.0	0.0	94.82	0.0	0.0	0.0
AT1G03610	NA@Plant/protein (DUF789) [Source:UniProtKB/TrEMBL;Acc:Q8LF98]	0.0	0.0	0.0	0.0	0.0	62.69
AT1G03730	NA@At1g03730 [Source:UniProtKB/TrEMBL;Acc:Q1ECK0]	0.0	98.81	0.0	100.4	207.08	0.0
AT1G03740	NA@F21B7.34 [Source:UniProtKB/TrEMBL;Acc:Q9LR53]	0.0	34.77	104.52	0.0	39.05	74.27
AT1G03750	SWI2@Switch 2 [Source:UniProtKB/Swiss-Prot;Acc:F4I2H2]	0.0	41.67	0.0	0.0	0.0	41.52
AT1G03770	RING1B@RING 1B [Source:UniProtKB/TrEMBL;Acc:F4I2H4]	0.0	83.46	0.0	0.0	0.0	0.0
AT1G03780	TPX2@Protein TPX2 [Source:UniProtKB/Swiss-Prot;Acc:F4I2H7]	0.0	0.0	45.92	0.0	0.0	0.0
AT1G03820	NA@At1g03820 [Source:UniProtKB/TrEMBL;Acc:Q9ZWA4]	0.0	0.0	113.36	0.0	0.0	113.14
AT1G03830	NA@Guanylate-binding family protein [Source:UniProtKB/TrEMBL;Acc:F4I2I5]	0.0	31.18	0.0	0.0	0.0	0.0
AT1G03840	MGP@Uncharacterized protein At1g03840 (Fragment) [Source:UniProtKB/TrEMBL;Acc:C0SUS5]	0.0	0.0	0.0	0.0	0.0	76.24
AT1G03850	NA@Glutaredoxin family protein [Source:TAIR;Acc:AT1G03850]	0.0	0.0	557.52	192.35	0.0	186.08
AT1G03860	PHB2@PHB2 [Source:UniProtKB/TrEMBL;Acc:A0A178WBG3]	277.17	183.58	91.63	179.77	96.19	0.0
AT1G03870	FLA9@At1g03870 [Source:UniProtKB/TrEMBL;Acc:B3LF88]	110.27	328.41	0.0	0.0	0.0	0.0
AT1G03900	ATNAP4@NAP4 [Source:UniProtKB/TrEMBL;Acc:A0A178WMR3]	102.48	101.77	0.0	310.35	0.0	202.56
AT1G03910	CTN@Cactin [Source:UniProtKB/Swiss-Prot;Acc:F4I2J8]	45.57	0.0	90.85	47.79	49.59	45.2
AT1G03920	NA@Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:F4I2K0]	0.0	0.0	0.0	56.84	0.0	0.0
AT1G03930	CKL9@Casein kinase 1-like protein 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWB3]	48.54	48.32	0.0	0.0	0.0	0.0
AT1G03950	VPS2.3@Vacuolar protein sorting-associated protein 2 homolog 3 [Source:UniProtKB/Swiss-Prot;Acc:Q941D5]	128.66	0.0	0.0	0.0	0.0	0.0
AT1G03960	B''EPSILON@Probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon [Source:UniProtKB/Swiss-Prot;Acc:Q84JI6]	0.0	0.0	46.51	0.0	0.0	0.0
AT1G04000	NA@F21M11.6 protein [Source:UniProtKB/TrEMBL;Acc:Q9ZWC0]	0.0	99.17	98.95	0.0	0.0	0.0
AT1G04010	PSAT@PSAT1 [Source:UniProtKB/TrEMBL;Acc:A0A178W9Q7]	0.0	0.0	43.54	43.89	0.0	0.0
AT1G04040	NA@At1g04040/F21M11_2 [Source:UniProtKB/TrEMBL;Acc:Q9ZWC4]	119.74	356.45	118.41	0.0	0.0	118.2
AT1G04070	TOM9-1@Mitochondrial import receptor subunit TOM9-1 [Source:UniProtKB/Swiss-Prot;Acc:O64497]	0.0	0.0	207.81	0.0	0.0	0.0
AT1G04080	PRP39@Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4I448]	84.29	0.0	53.89	0.0	86.87	77.51
AT1G04120	ABCC5@MRP5 [Source:UniProtKB/TrEMBL;Acc:A0A178WGC2]	39.98	21.32	0.0	0.0	22.34	0.0
AT1G04123	NA@\N	0.0	0.0	781.8	0.0	0.0	0.0
AT1G04130	TPR2@Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4I456]	0.0	0.0	0.0	0.0	0.0	126.35
AT1G04140	NA@Transducin family protein / WD-40 repeat family protein [Source:UniProtKB/TrEMBL;Acc:F4I458]	73.88	0.0	73.71	74.21	0.0	36.66
AT1G04150	NA@C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Source:UniProtKB/TrEMBL;Acc:O64492]	0.0	33.55	0.0	0.0	0.0	0.0
AT1G04170	EIF2 GAMMA@Eukaryotic translation initiation factor 2 gamma subunit [Source:UniProtKB/TrEMBL;Acc:O64490]	129.33	58.56	64.32	130.18	0.0	64.06
AT1G04183	NA@\N	0.0	0.0	0.0	0.0	124.0	0.0
AT1G04200	NA@Dyggve-melchior-clausen syndrome protein [Source:UniProtKB/TrEMBL;Acc:Q8RWV1]	0.0	47.87	0.0	0.0	0.0	47.69
AT1G04210	NA@At1g04210 [Source:UniProtKB/TrEMBL;Acc:O64486]	0.0	84.72	28.31	0.0	0.0	28.15
AT1G04220	KCS2@3-ketoacyl-CoA synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5XEP9]	116.58	173.99	0.0	0.0	60.77	173.3
AT1G04233	NA@\N	0.0	0.0	0.0	0.0	518.09	0.0
AT1G04240	SHY2@AUX/IAA transcriptional regulator family protein [Source:TAIR;Acc:AT1G04240]	107.55	0.0	0.0	0.0	111.9	0.0
AT1G04247	NA@\N	102.42	0.0	0.0	51.5	0.0	0.0
AT1G04250	IAA17@Auxin-responsive protein IAA17 [Source:UniProtKB/Swiss-Prot;Acc:P93830]	0.0	189.67	94.65	0.0	0.0	188.78
AT1G04270	RPS15A@40S ribosomal protein S15-1 [Source:UniProtKB/Swiss-Prot;Acc:Q08112]	1021.35	433.87	863.32	738.81	606.24	0.0
AT1G04280	NA@p-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q0WUY1]	46.65	49.57	49.62	50.08	0.0	49.39
AT1G04290	NA@F19P19.27 protein [Source:UniProtKB/TrEMBL;Acc:P93828]	0.0	512.98	0.0	0.0	126.31	0.0
AT1G04300	TRAF1B@TNF receptor-associated factor homolog 1b [Source:UniProtKB/Swiss-Prot;Acc:A8MQL1]	124.46	0.0	61.88	0.0	0.0	0.0
AT1G04340	NA@At1g04340/F19P19_23 [Source:UniProtKB/TrEMBL;Acc:O22690]	0.0	0.0	124.07	0.0	130.52	0.0
